Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/env_infos/cagr Max,evaluation/env_infos/cagr Mean,evaluation/env_infos/cagr Min,evaluation/env_infos/cagr Std,evaluation/env_infos/final/cagr Max,evaluation/env_infos/final/cagr Mean,evaluation/env_infos/final/cagr Min,evaluation/env_infos/final/cagr Std,evaluation/env_infos/final/trade_days Max,evaluation/env_infos/final/trade_days Mean,evaluation/env_infos/final/trade_days Min,evaluation/env_infos/final/trade_days Std,evaluation/env_infos/final/wealths Max,evaluation/env_infos/final/wealths Mean,evaluation/env_infos/final/wealths Min,evaluation/env_infos/final/wealths Std,evaluation/env_infos/initial/cagr Max,evaluation/env_infos/initial/cagr Mean,evaluation/env_infos/initial/cagr Min,evaluation/env_infos/initial/cagr Std,evaluation/env_infos/initial/trade_days Max,evaluation/env_infos/initial/trade_days Mean,evaluation/env_infos/initial/trade_days Min,evaluation/env_infos/initial/trade_days Std,evaluation/env_infos/initial/wealths Max,evaluation/env_infos/initial/wealths Mean,evaluation/env_infos/initial/wealths Min,evaluation/env_infos/initial/wealths Std,evaluation/env_infos/trade_days Max,evaluation/env_infos/trade_days Mean,evaluation/env_infos/trade_days Min,evaluation/env_infos/trade_days Std,evaluation/env_infos/wealths Max,evaluation/env_infos/wealths Mean,evaluation/env_infos/wealths Min,evaluation/env_infos/wealths Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/env_infos/cagr Max,exploration/env_infos/cagr Mean,exploration/env_infos/cagr Min,exploration/env_infos/cagr Std,exploration/env_infos/final/cagr Max,exploration/env_infos/final/cagr Mean,exploration/env_infos/final/cagr Min,exploration/env_infos/final/cagr Std,exploration/env_infos/final/trade_days Max,exploration/env_infos/final/trade_days Mean,exploration/env_infos/final/trade_days Min,exploration/env_infos/final/trade_days Std,exploration/env_infos/final/wealths Max,exploration/env_infos/final/wealths Mean,exploration/env_infos/final/wealths Min,exploration/env_infos/final/wealths Std,exploration/env_infos/initial/cagr Max,exploration/env_infos/initial/cagr Mean,exploration/env_infos/initial/cagr Min,exploration/env_infos/initial/cagr Std,exploration/env_infos/initial/trade_days Max,exploration/env_infos/initial/trade_days Mean,exploration/env_infos/initial/trade_days Min,exploration/env_infos/initial/trade_days Std,exploration/env_infos/initial/wealths Max,exploration/env_infos/initial/wealths Mean,exploration/env_infos/initial/wealths Min,exploration/env_infos/initial/wealths Std,exploration/env_infos/trade_days Max,exploration/env_infos/trade_days Mean,exploration/env_infos/trade_days Min,exploration/env_infos/trade_days Std,exploration/env_infos/wealths Max,exploration/env_infos/wealths Mean,exploration/env_infos/wealths Min,exploration/env_infos/wealths Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0.99790865,-0.0067849443,-0.9993547,0.62995154,0.23892376780280683,4,0.2916745248648476,0.23892376780280683,0.21172502210166,0.03122137379395054,0.07270111174576366,0.001132340131766857,-0.0684322477921957,0.008651500523637475,0.10408432522064825,0.04006630377569789,-0.3479461971464669,0.029828673648384194,0.06529143581373176,0.054309493129815145,0.048602835204633266,0.006506534950722464,1477,1477.0,1477,0.0,1.2916745248648476,1.2389237678028069,1.21172502210166,0.03122137379395054,-0.14159588829969283,-0.24738833266975904,-0.3479461971464669,0.07306388136839222,7,7.0,7,0.0,0.9970761674497396,0.9944759347277181,0.9918324484040686,0.001855616570161073,1477,742.0,7,426.3683853195497,1.30855020128949,1.0966077288954335,0.9918324484040686,0.08517225615170355,4,844,211,211.0,211,0.0,0.9993492,0.010623284,-0.9991123,0.63092715,0.044136794226661995,12,0.1671498219908052,0.044136794226661995,-0.00909120498703997,0.04882053623654526,0.017375689398487326,0.0005296415307199439,-0.02655577805880771,0.004613596402474871,0.41485068586291796,0.02440366271416201,-0.3141502256017634,0.06010772161912601,0.09706377561997526,0.025497881258167727,-0.01101353816193873,0.02901424514463511,609,583.3333333333334,301,85.12670295245526,1.1671498219908052,1.044136794226662,0.99090879501296,0.04882053623654526,0.41485068586291796,0.08656380523313623,-0.2746681687665047,0.18272987284691555,7,7.0,7,0.0,1.006677450275295,1.0013111187962422,0.9938603437832703,0.003381307158138993,609,301.378,7,175.7107484361728,1.1671498219908052,1.0207825271628013,0.9484145853355268,0.03424655355447464,24,2000,87,83.33333333333333,43,12.160957564636465,2000,0.009133250999980191,51.03226949700121,2.4544695129999923,2.42866908000002,0.010593550000010055,46.089192725001226,0.040164329999981874,70.46563782700196,4.704799999899478e-05,1.0,-0.0,-4.6235847,-6.651406,-8.4983,0.7401683,-6.64938,22.544327,7.2233763,-17.174969,4.559478,0.0041778395,0.0019516661,-0.00055594486,0.00078270875,-0.00083576876,-0.0020097182,-0.003189152,0.00045940923,72.93794,72.995155,3000,0.0012600773,-0.00014332219,-0.0013304326,0.00048005383,0.0014374648,-0.00016058415,-0.0018366743,0.00085405627,1.0014385,0.9998398,0.998165,0.00085375295
1,0.99884784,-0.11332257,-0.99899083,0.66570616,0.20171767417436925,4,0.21844128783559436,0.20171767417436925,0.15680402856797437,0.025990838170083592,0.06989225183634606,0.0009560079344756837,-0.06318289994612347,0.00848071949862009,0.15275936333043427,0.04241297227335295,-0.3077222072779704,0.031186233285189775,0.05003615473872025,0.04640981574371339,0.036651835369254204,0.0056463220497763355,1477,1477.0,1477,0.0,1.2184412878355944,1.2017176741743691,1.1568040285679744,0.025990838170083592,-0.26990798505557534,-0.2964491129121155,-0.3077222072779704,0.015532620854871927,7,7.0,7,0.0,0.9939850314651606,0.9932748973094558,0.9929717302815572,0.00041585103685441363,1477,742.0,7,426.3683853195497,1.2493359012146552,1.0924013122235516,0.9929717302815572,0.07422199174623617,8,1688,211,211.0,211,0.0,0.99820715,-0.021655114,-0.9979179,0.6581645,0.08502161247327915,12,0.2088434318587904,0.08502161247327915,0.02399684891037146,0.04806817164869114,0.024111733814708103,0.0010202593496793496,-0.02343950437612974,0.0051254573185861045,2.0831989652666363,0.06737386963339403,-0.5262951035145529,0.09500956380889758,0.12038666523248431,0.05269691818996399,0.014313971967105932,0.02733995607259894,609,583.3333333333334,301,85.12670295245526,1.2088434318587904,1.0850216124732792,1.0239968489103715,0.04806817164869115,2.0831989652666363,0.2548748923603564,-0.5262951035145529,0.603908450241339,7,7.0,7,0.0,1.0218287363390741,1.002695448511003,0.9857728741078201,0.007822246979651325,609,301.378,7,175.7107484361728,1.2169644164034779,1.0466677241752784,0.9737041735781417,0.041134966418538206,36,3000,87,83.33333333333333,43,12.160957564636465,3000,0.008854488000054062,49.613021934000244,2.241117153999994,2.215205663000006,0.011081324999963726,45.11954340600016,0.017173897000020588,122.33575080200308,4.600100004381602e-05,0.42184609174728394,-10.889514923095703,6.4063454,-2.6165311,-9.6864195,2.6195545,-68.05072,79.82878,63.14346,-3.6646256,9.241278,80.80086,65.24208,46.158234,6.426901,81.33173,65.138626,47.20734,6.611002,53.320057,55.290405,6000,0.92554486,-0.031077009,-0.95126694,0.56619716,-0.058310688,-0.30918926,-0.6523764,0.11567636,0.9433568,0.7389423,0.52080667,0.08491359
2,0.9992967,-0.0069750766,-0.99883413,0.703774,0.2686606410918146,4,0.30293669560101955,0.2686606410918146,0.24266846878291082,0.023074060051817284,0.06545378430113913,0.001273273180529927,-0.0640150260057526,0.009386229007718162,0.10245989902683461,0.047561840583933236,-0.19929123006493865,0.023326402266327796,0.06757929494120996,0.06053665550770326,0.05515756429843455,0.004754495841616738,1477,1477.0,1477,0.0,1.3029366956010195,1.2686606410918144,1.2426684687829108,0.023074060051817284,-0.18116507506238966,-0.18872522894720056,-0.19929123006493865,0.007146975939229426,7,7.0,7,0.0,0.9961741607878783,0.9959962381202502,0.9957465896522284,0.00016858082335889765,1477,742.0,7,426.3683853195497,1.3268382391005562,1.1115448743769232,0.9957465896522284,0.09201606585205988,12,2532,211,211.0,211,0.0,0.99922425,0.06959684,-0.9990544,0.7653875,0.10094899619617163,12,0.23806391289203122,0.10094899619617163,0.026665008719088945,0.0681137799102713,0.025180894419092548,0.0012113879543540595,-0.03611393499500282,0.007177316244943178,0.9076506936673105,0.07714347277652701,-0.3072912357956826,0.07749332676214998,0.13654052042965925,0.060235360774048306,0.017371813834319516,0.037622522039025476,609,583.3333333333334,301,85.12670295245526,1.2380639128920312,1.1009489961961718,1.026665008719089,0.06811377991027132,0.9076506936673105,0.16428013350645557,-0.3072912357956826,0.3583855647367068,7,7.0,7,0.0,1.0124636271378773,1.002136121821467,0.9929835818993376,0.005403600645170882,609,301.378,7,175.7107484361728,1.2427939999801036,1.0591763970050354,0.958633869164625,0.05217192241319575,48,4000,87,83.33333333333333,43,12.160957564636465,4000,0.008688865999999962,49.69009438500109,2.2595017999999527,2.244414000000006,0.010337064999987433,45.12901087400115,0.038095951000002515,174.31018798300306,4.582899998695211e-05,0.2225928157567978,-4.252093315124512,18.681381,7.1698203,-2.8205929,3.047571,-112.13165,130.8881,105.77698,-8.120985,13.381878,128.87962,107.89552,77.576904,8.052327,131.32373,108.49632,80.63262,8.39393,140.05434,147.10513,9000,0.9829192,0.058449756,-0.98090476,0.76158214,-0.19075875,-0.66308105,-1.3031408,0.24181722,0.8263319,0.53027666,0.27167717,0.12670395
3,0.9989877,-0.4225694,-0.99950004,0.66182303,0.19466582513423103,4,0.22657010336103656,0.19466582513423103,0.182463936553523,0.01851641996817806,0.0648494949835785,0.0009225868489773982,-0.06832536013660162,0.007489797290529474,0.06837657518550899,0.034464949365485976,-0.16454536947474474,0.01775093759541019,0.051762992210012015,0.044912026614267686,0.04228750678663018,0.003976659913364882,1477,1477.0,1477,0.0,1.2265701033610366,1.1946658251342313,1.182463936553523,0.01851641996817806,-0.1337577420546816,-0.149852833351739,-0.16454536947474474,0.013123357267067681,7,7.0,7,0.0,0.9972499946178087,0.9968891275393472,0.9965581159718829,0.0002950153809886491,1477,742.0,7,426.3683853195497,1.2449625670568225,1.080720871221183,0.9965581159718829,0.06553197623436846,16,3376,211,211.0,211,0.0,0.9988668,-0.2586853,-0.99910706,0.81804246,0.07665588148389924,12,0.1352944006671044,0.07665588148389924,0.0030700313025695536,0.035075191258255825,0.02217307209970354,0.0009198705778067908,-0.019781009077612488,0.005156150861634778,1.261786694562827,0.05770171628279924,-0.21840937442035846,0.06560293118402037,0.07901852649429797,0.04528493693941823,0.0037240095093153958,0.02013032627913234,609,583.3333333333334,301,85.12670295245526,1.1352944006671044,1.0766558814838991,1.0030700313025696,0.035075191258255825,1.261786694562827,0.21270819700050791,-0.21840937442035846,0.3433573856032242,7,7.0,7,0.0,1.0157754277913087,1.0031161668569646,0.9952852066688711,0.004565148314772997,609,301.378,7,175.7107484361728,1.1352944006671044,1.0415518937627004,0.9799184300845315,0.030767167766273626,60,5000,87,83.33333333333333,43,12.160957564636465,5000,0.00863001999999824,48.92262158600124,2.221050871999978,2.188560269999982,0.010784951999994519,44.44866061800121,0.044887612000025,225.52110685600314,4.724200005057355e-05,0.23911349475383759,2.584588050842285,25.23601,11.806373,-2.6238155,4.529975,-187.71274,291.69415,177.23785,-2.9105856,28.3914,280.27042,179.15178,158.33617,22.055408,279.69257,179.2313,157.7917,22.05532,277.28613,295.28772,12000,0.97993386,-0.2643858,-0.9905777,0.8407135,-0.10747278,-0.7103039,-1.7860571,0.24100713,0.898101,0.5032694,0.16761978,0.09175507
4,0.9991364,0.26402798,-0.9983548,0.72908676,0.17039314598771998,4,0.1858132709495428,0.17039314598771998,0.15697156607251594,0.010688668716808573,0.045426416477444276,0.0008075504549181041,-0.04333365044521198,0.005931795119589173,0.12564961361996496,0.03698374730466408,-0.22368410760887214,0.023773072984115105,0.043016306096101964,0.03963993954368167,0.03668893536537432,0.002344545464472113,1477,1477.0,1477,0.0,1.1858132709495428,1.17039314598772,1.156971566072516,0.010688668716808573,-0.21204800229417675,-0.21789733576714065,-0.22368410760887214,0.004204490342117381,7,7.0,7,0.0,0.9954399445136599,0.9952974369164337,0.9951559612131198,0.00010261081140719543,1477,742.0,7,426.3683853195497,1.2194946201541623,1.0847521508920526,0.9951559612131198,0.06842561446872387,20,4220,211,211.0,211,0.0,0.999363,0.32546598,-0.9986325,0.80248743,0.059317043333072916,12,0.13561277846712305,0.059317043333072916,0.015303564030590522,0.03454306099240191,0.014328522363762364,0.000711804519996875,-0.018475990817266363,0.0035484319094450326,0.2032539810245073,0.03079064336198575,-0.3566029969076543,0.04485267554337213,0.07919987515767679,0.035795957537688695,0.011625333438290975,0.01930168414532986,609,583.3333333333334,301,85.12670295245526,1.135612778467123,1.059317043333073,1.0153035640305905,0.034543060992401904,0.20067497440745963,0.02965882031718463,-0.34028679674320916,0.14988495959172773,7,7.0,7,0.0,1.0035135200226213,1.000330123377499,0.9920546080238439,0.00311742953371714,609,301.378,7,175.7107484361728,1.1357551619780022,1.0282914897304571,0.9735883481747036,0.029695360432507388,72,6000,87,83.33333333333333,43,12.160957564636465,6000,0.008657735000042521,48.770510828002784,2.191106729000012,2.2323579259999633,0.010336282000025676,44.289546067002675,0.03844262100005835,276.58762950000903,6.346800000756048e-05,0.47201719880104065,1.7508496046066284,20.098116,12.332167,1.7409201,3.6414404,-331.89038,560.82855,314.43204,-5.8349037,59.963684,543.8909,316.98456,280.13443,44.177807,548.87085,317.19043,281.5593,44.05629,1588.6461,1588.6257,15000,0.9952343,0.33602577,-0.98445135,0.8112609,-0.36497796,-0.67032826,-1.7630638,0.16653976,0.69421196,0.5178855,0.17151856,0.074890144
5,0.9968499,0.0227651,-0.99928844,0.67321664,0.187893448819778,4,0.2018916649562268,0.187893448819778,0.1805853723297215,0.008267512220136207,0.05278947835026959,0.0008904902787667203,-0.05418082750572584,0.006961026457890276,0.11566374438147786,0.04069646164715845,-0.20735872288545565,0.022853899243889073,0.046493468293755225,0.043463480071096405,0.04187805955919566,0.001790028265077506,1477,1477.0,1477,0.0,1.2018916649562268,1.187893448819778,1.1805853723297215,0.008267512220136207,-0.19156786943904336,-0.20070452085155344,-0.20735872288545565,0.005791752208025325,7,7.0,7,0.0,0.9959299221903719,0.9957123637900799,0.9955532268509005,0.00013808934982039518,1477,742.0,7,426.3683853195497,1.2344816147537572,1.091576654017214,0.9955532268509005,0.0713831162872005,24,5064,211,211.0,211,0.0,0.998897,0.039242316,-0.99892557,0.82023054,0.07766172660616526,12,0.15622872445962788,0.07766172660616526,0.025037679300474736,0.03836982828111033,0.018487611917411773,0.0009319407192739831,-0.01993091870619379,0.004781704646714289,0.3202334439698018,0.04751317831275946,-0.339652118946002,0.04598402350194011,0.09089975601698153,0.04735630287313893,0.014931762039205543,0.02090777969404671,609,583.3333333333334,301,85.12670295245526,1.1562287244596279,1.0776617266061652,1.0250376793004747,0.03836982828111034,0.2054366198099553,0.009633048286442411,-0.339652118946002,0.14672730983206775,7,7.0,7,0.0,1.0035896957717407,0.9999572311171555,0.992072903093423,0.0030795855959440915,609,301.378,7,175.7107484361728,1.1577085994922183,1.0408060474684753,0.9764644802326117,0.03509148148703465,84,7000,87,83.33333333333333,43,12.160957564636465,7000,0.00860330199998316,48.36836257799814,2.2099763339999754,2.221533929999964,0.010967566999966039,43.869840608998175,0.04737991800004693,327.2522033340099,6.0918000031051633e-05,0.6193754076957703,0.3983350396156311,20.726645,10.831521,-0.061289787,3.4117506,-401.6956,603.8109,388.05725,-2.9105856,54.38114,598.08844,390.8075,350.43057,40.067604,601.9506,391.34827,360.1601,40.313736,1396.6208,1478.0177,18000,0.9784951,0.04018232,-0.9846224,0.84053457,0.082036756,-0.79778373,-1.5941355,0.30132145,1.0854957,0.46902934,0.20308402,0.12567922
6,0.9986078,-0.055479024,-0.99998283,0.69751024,0.18790187144633463,4,0.2050875563222343,0.18790187144633463,0.1577012821524031,0.018419261287708037,0.0529772392075909,0.0008905301964281262,-0.04492767361168504,0.0061639596693334,0.1116456377073165,0.0413814651835882,-0.2112680145535033,0.022336093026647765,0.04718044390268905,0.04344647377726374,0.0368504786751469,0.004018123073271991,1477,1477.0,1477,0.0,1.2050875563222343,1.1879018714463347,1.157701282152403,0.018419261287708037,-0.1941609727135455,-0.20286230582194023,-0.2112680145535033,0.006454066433744225,7,7.0,7,0.0,0.9958685609298551,0.9956606206930891,0.9954588330154591,0.0001545765617432735,1477,742.0,7,426.3683853195497,1.2360865845855653,1.090712723969765,0.9954588330154591,0.06776897994494929,28,5908,211,211.0,211,0.0,0.9995373,0.14305568,-0.99960154,0.7479095,0.08566780236687832,12,0.1692173459562687,0.08566780236687832,0.026030111774984155,0.05184398172823896,0.0199020188810346,0.0010280136284025398,-0.021615533632644235,0.005024889418195748,0.44719963242689387,0.04567689296535997,-0.3157088851419,0.058547821590321056,0.09822810906909196,0.05279191289253321,0.015520591252700111,0.029417914369113948,609,583.3333333333334,301,85.12670295245526,1.1692173459562687,1.0856678023668782,1.0260301117749842,0.05184398172823896,0.44719963242689387,0.07662550692045066,-0.3157088851419,0.22568004967107216,7,7.0,7,0.0,1.0071139872468748,1.0009794877140954,0.9927507788511032,0.00420195216013065,609,301.378,7,175.7107484361728,1.1692173459562687,1.0401633511426718,0.9584014546793191,0.04308824559381472,96,8000,87,83.33333333333333,43,12.160957564636465,8000,0.009092753999993874,49.21285755699523,2.217609351999954,2.199656776999973,0.01060578900001019,44.75937778799528,0.016468076000023757,378.78213937500266,4.7021000000313506e-05,0.4137968420982361,0.45872217416763306,20.576588,10.519869,0.7311535,3.9911137,-405.4627,535.0299,397.67502,1.5612321,55.99827,541.8329,399.2441,364.39215,36.401806,537.92236,398.70856,359.6601,36.54303,2133.3489,2158.35,21000,0.98670244,0.212537,-0.9708733,0.72949874,-0.44200727,-1.0719181,-2.271065,0.5433076,0.64274496,0.38737443,0.10320222,0.16293596
7,0.99582696,0.046952948,-0.99937403,0.6003725,0.2247964307347355,4,0.24662624885531859,0.2247964307347355,0.2096759472134917,0.014044521001579382,0.06396505642954486,0.0010653859276527748,-0.057950344792774056,0.008123465134043096,0.10137354640252827,0.04436509442747482,-0.2469690256582281,0.023785837533738526,0.055987044520467544,0.05137412718814077,0.048164351158072494,0.002972239403034209,1477,1477.0,1477,0.0,1.2466262488553186,1.2247964307347354,1.2096759472134917,0.014044521001579382,-0.19633645034586167,-0.22677498904684867,-0.2469690256582281,0.021409391867348096,7,7.0,7,0.0,0.9958169324728028,0.9950726894210686,0.9945749268967607,0.0005262514779920118,1477,742.0,7,426.3683853195497,1.2743573436402822,1.1022455967398863,0.9945749268967607,0.07919584791887668,32,6752,211,211.0,211,0.0,0.99815875,0.10602921,-0.9987464,0.78761417,0.06055800134417183,12,0.14076018629447962,0.06055800134417183,0.02089415912076964,0.03366765009990482,0.01704247442560558,0.000726696016130062,-0.019865524657265876,0.0045480371292379515,1.2404219749979601,0.03998392245634731,-0.5513154666676455,0.08118486066826171,0.13778993284255203,0.041735778084481055,0.012470860410525253,0.03375302539158648,609,583.3333333333334,301,85.12670295245526,1.1407601862944796,1.060558001344172,1.0208941591207696,0.03366765009990483,1.2404219749979601,0.008997471018432809,-0.5513154666676455,0.4164060157949756,7,7.0,7,0.0,1.0155905570482036,0.9988986658696456,0.984747524630379,0.006824593600611666,609,301.378,7,175.7107484361728,1.1407601862944796,1.0295531281319914,0.9750172962135908,0.028436121392397814,108,9000,87,83.33333333333333,43,12.160957564636465,9000,0.00865731599992614,47.76230692000058,2.202279722000071,2.1624297380000144,0.011136921000002076,43.32706817500059,0.050688243999957194,428.8239121850023,4.6804000021438696e-05,0.6019638776779175,0.011599432677030563,16.404072,10.022853,0.9612026,3.2127764,-397.03262,502.5403,393.19775,0.8097475,53.52222,537.6825,389.2521,338.21817,37.19842,499.2004,389.88367,348.45276,38.036022,1631.8176,1702.7562,24000,0.97282714,0.12184644,-0.9791271,0.80378693,0.124474674,-0.92474,-1.9544413,0.36670813,1.1325533,0.42082453,0.1416436,0.13305438
8,0.9985628,0.012814261,-0.9984792,0.60414875,0.23836400491964044,4,0.2575406759455743,0.23836400491964044,0.21126521123081,0.019434524145897344,0.05708466177729776,0.0011296872271073007,-0.05396855721035321,0.007652028230685446,0.1103631486712322,0.04854454161262802,-0.19096589610050707,0.022457821364660815,0.05826428677180373,0.05422894409220841,0.048504488321172046,0.004095782811971206,1477,1477.0,1477,0.0,1.2575406759455743,1.2383640049196405,1.21126521123081,0.019434524145897344,-0.1825417319698328,-0.18685779088813134,-0.19096589610050707,0.0032600949326875577,7,7.0,7,0.0,0.996142014699567,0.9960407352625644,0.9959441392277499,7.657640510586969e-05,1477,742.0,7,426.3683853195497,1.276508940409389,1.108094972412913,0.9959441392277499,0.08155071826789137,36,7596,211,211.0,211,0.0,0.9984482,0.12827495,-0.9993313,0.6999946,0.09952645159044911,12,0.19730641409419447,0.09952645159044911,0.0004106055638424255,0.046672771279220024,0.01971833917672905,0.0011943174190853893,-0.022340104249862103,0.005596142678375419,1.3797643817947858,0.0763343432423632,-0.2023396988290006,0.08216708434246651,0.11396570086442193,0.05830439191936112,0.0004979321339886322,0.026930818872747994,609,583.3333333333334,301,85.12670295245526,1.1973064140941945,1.0995264515904493,1.0004106055638424,0.046672771279220024,1.3797643817947858,0.1724401947424449,-0.2023396988290006,0.4113507987015045,7,7.0,7,0.0,1.0167664307176592,1.002167684476683,0.9956737490844354,0.005565430230741911,609,301.378,7,175.7107484361728,1.1973064140941945,1.054815540550234,0.983416404684287,0.041873406810024244,120,10000,87,83.33333333333333,43,12.160957564636465,10000,0.008709031999956096,47.86515020500269,2.1800789249999752,2.10986690499999,0.01099225200005094,43.49573130100259,0.059701751000034164,478.96558087599965,7.003900009294739e-05,0.4022008180618286,-0.46527379751205444,20.689486,9.489161,0.7317982,2.9142406,-372.36395,507.19934,370.07782,-2.436839,55.474644,518.79224,367.96283,289.7032,44.48284,511.94562,367.3047,280.85202,44.9469,1104.5201,1058.1266,27000,0.98589087,0.18611324,-0.98518836,0.7073774,-0.4112192,-1.1939151,-2.3507752,0.53895617,0.6628416,0.3433763,0.09529526,0.15124322
9,0.9997468,0.05922325,-0.9950734,0.65255135,0.21164345445341254,4,0.24418531379023878,0.21164345445341254,0.18889343846680595,0.020159345094118045,0.05293469032047571,0.0010030495471725714,-0.05214875813526931,0.0069050493186215926,0.10404635561546915,0.042813687037109936,-0.2038928247772499,0.021838008956162336,0.05547570274344982,0.04855856148840815,0.04368516925904409,0.0042935075790291495,1477,1477.0,1477,0.0,1.2441853137902388,1.2116434544534127,1.188893438466806,0.020159345094118042,-0.18821234412750532,-0.19480689559850234,-0.2038928247772499,0.005683160385479179,7,7.0,7,0.0,0.9960090389351441,0.9958527781850264,0.9956365334039174,0.0001350971309028992,1477,742.0,7,426.3683853195497,1.2702429385442615,1.096819392714017,0.9956365334039174,0.0750152189765952,40,8440,211,211.0,211,0.0,0.99899685,0.2034847,-0.998307,0.8121995,0.06963226599425604,12,0.12683261101946708,0.06963226599425604,0.024708277356684016,0.03460288327743588,0.014239097991030292,0.0008355871919310724,-0.015131554564591365,0.004125765875923898,0.7471987369042277,0.04730594322247647,-0.24352726869947128,0.06771085932229448,0.07419118038136219,0.04232526702320074,0.01473627106757891,0.018896209558014552,609,583.3333333333334,301,85.12670295245526,1.126832611019467,1.069632265994256,1.024708277356684,0.03460288327743588,0.7471987369042277,0.15233686461436213,-0.19883879135254723,0.28592694570480853,7,7.0,7,0.0,1.0107591015092592,1.0021828713997307,0.9957573771037866,0.0045289412144378155,609,301.378,7,175.7107484361728,1.126832611019467,1.0374545949397063,0.9756665524529637,0.032825466957820945,132,11000,87,83.33333333333333,43,12.160957564636465,11000,0.007775294999987636,47.939689202000636,2.141072973000064,2.122721013000046,0.011113806000025761,43.62678811000046,0.030163385000037124,529.1841672080002,5.462000001443812e-05,0.4912721812725067,0.4053284525871277,17.191734,10.570278,0.0004196167,3.192199,-424.8065,538.6109,411.7878,-0.9604308,58.597637,556.91345,413.44534,265.71564,37.329624,561.38385,414.43674,286.65683,36.87528,2027.9575,2032.6301,30000,0.9835156,0.2510697,-0.9742594,0.8289554,-0.3477809,-0.8206953,-1.9684272,0.26941377,0.7062536,0.4537154,0.13967636,0.09615412
