,trade_days,wealths,max_weath,cagr,std,mean,mean_square,mdd,profit,reward,dd,episode,date
0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2017-03-05
1,7,0.9884465663177888,1.0,-0.4544365378346019,0.0,-0.011553433682211178,0.00013348182984925175,0.011553433682211178,-0.011553433682211178,-0.011553433682211178,0.011553433682211178,1,2017-03-12
2,14,0.9954561685327079,1.0,-0.11195613194197684,0.013183982927640421,-0.0022309499510289655,9.188584060215317e-05,0.011553433682211178,0.007091533780153247,0.007091533780153247,0.004543831467292092,2,2017-03-19
3,21,0.9987038668854551,1.0,-0.022290453457860737,0.009847239047721194,-0.0003997923986586986,6.480524520400196e-05,0.011553433682211178,0.0032625227060818353,0.0032625227060818353,0.0012961331145449062,3,2017-03-26
4,28,0.9995702570433155,1.0,-0.00558754175097298,0.008065167573063138,-8.29656559378247e-05,4.879207928625706e-05,0.011553433682211178,0.000867514572224797,0.000867514572224797,0.0004297429566845201,4,2017-04-02
5,35,1.0013670617587491,1.0013670617587491,0.014348734139066233,0.007035089500603804,0.0002931429175656232,3.9679920195323576e-05,0.011553433682211178,0.0017975772115794149,0.0017975772115794149,0.0,5,2017-04-09
6,42,1.0243068625129508,1.0243068625129508,0.2320898571231811,0.011173014749920265,0.004062366338394091,0.0001205330357689306,0.011553433682211178,0.022908483442536428,0.022908483442536428,0.0,6,2017-04-16
7,49,1.02760129739423,1.02760129739423,0.22484612107605528,0.0102045326641833,0.003941493682399281,0.00010479178978643676,0.011553433682211178,0.0032162577464304207,0.0032162577464304207,0.0,7,2017-04-23
8,56,1.0292421654520698,1.0292421654520698,0.20666782319809984,0.009483860982954815,0.0036484062794864868,9.201153513120749e-05,0.011553433682211178,0.0015967944590969244,0.0015967944590969244,0.0,8,2017-04-30
9,63,1.0273406812529087,1.0292421654520698,0.16914840248329566,0.009058516875913854,0.003037754420113147,8.216726568688684e-05,0.011553433682211178,-0.0018474604548735717,-0.0018474604548735717,0.0018474604548735717,9,2017-05-07
10,70,1.0277493337615224,1.0292421654520698,0.15340884521761877,0.008581157371847671,0.002773756679508088,7.39663617734898e-05,0.011553433682211178,0.0003977770140625535,0.0003977770140625535,0.0014504183181143564,10,2017-05-14
11,77,1.030781064408811,1.030781064408811,0.1545488341479726,0.008140973860644819,0.0027897673104311832,6.803321564607969e-05,0.011553433682211178,0.00294987361966214,0.00294987361966214,0.0,11,2017-05-21
12,84,1.0331728358288488,1.0331728358288488,0.15235149364602973,0.007763296775554061,0.0027506490862055245,6.281244915199403e-05,0.011553433682211178,0.0023203486197232825,0.0023203486197232825,0.0,12,2017-05-28
13,91,1.0384496299072037,1.0384496299072037,0.16338056213166663,0.0074614756675044,0.0029319351712520604,5.9987276897742e-05,0.011553433682211178,0.005107368191810494,0.005107368191810494,0.0,13,2017-06-04
14,98,1.0359237674155812,1.0384496299072037,0.14048144675916285,0.007310705994657976,0.002548772664604059,5.612506265470894e-05,0.011553433682211178,-0.0024323399218199606,-0.0024323399218199606,0.0024323399218199606,14,2017-06-11
15,105,1.0379708711082007,1.0384496299072037,0.13831568401384176,0.007046324082204358,0.0025105954352851513,5.2643726973030857e-05,0.011553433682211178,0.0019761142248204406,0.0019761142248204406,0.0004610322785186269,15,2017-06-18
16,112,1.039868508583454,1.039868508583454,0.1358774512792289,0.006809533018646087,0.0024679468723879995,4.956239295120905e-05,0.011553433682211178,0.001828218428930723,0.001828218428930723,0.0,16,2017-06-25
17,119,1.0349566624001239,1.039868508583454,0.11114225776983222,0.006820104431018137,0.00204491904242365,4.7959411019472254e-05,0.011553433682211178,-0.0047235262370059405,-0.0047235262370059405,0.0047235262370059405,17,2017-07-02
18,126,1.029326496903411,1.039868508583454,0.08733731179938276,0.006847639250656243,0.00162909013945977,4.693908891699482e-05,0.011553433682211178,-0.0054400012109261904,-0.0054400012109261904,0.010137831459482978,18,2017-07-09
19,133,1.0345123986808271,1.039868508583454,0.09758984221638123,0.006700509104045492,0.001808514367549564,4.580455582611411e-05,0.011553433682211178,0.005038150473165852,0.005038150473165852,0.0051507569066815955,19,2017-07-16
20,140,1.0385563070357384,1.039868508583454,0.1036604530977765,0.006538687443128116,0.0019135386196155505,4.427834185373543e-05,0.011553433682211178,0.003908999408869293,0.003908999408869293,0.00126189180351575,20,2017-07-23
21,147,1.0381367693765693,1.039868508583454,0.0973874653126543,0.006393157647068385,0.0018031814300006432,4.217762012689817e-05,0.011553433682211178,-0.0004039623622975086,-0.0004039623622975086,0.0016653444090193464,21,2017-07-30
22,154,1.0390319352053061,1.039868508583454,0.09499627859260218,0.006242307062181777,0.001760413238142733,4.0294252343112474e-05,0.011553433682211178,0.0008622812091266212,0.0008622812091266212,0.0008044991950833467,22,2017-08-06
23,161,1.0386245567420198,1.039868508583454,0.089715039686322,0.006115279331282036,0.001666826792282564,3.854901192900646e-05,0.011553433682211178,-0.0003920750166411551,-0.0003920750166411551,0.0011962587876892018,23,2017-08-13
24,168,1.0381793489918378,1.039868508583454,0.08481003860533565,0.005996137080565588,0.0015795152057571276,3.695045901211269e-05,0.011553433682211178,-0.000428651284327912,-0.000428651284327912,0.0016243972941513822,24,2017-08-20
25,175,1.040774462739844,1.040774462739844,0.0869284737630367,0.0058727726574558355,0.0016163217047844211,3.572237619207165e-05,0.011553433682211178,0.002499677681439465,0.002499677681439465,0.0,25,2017-08-27
26,182,1.0670953228582407,1.0670953228582407,0.13909880294792498,0.007393565550748866,0.0025268357441833402,5.894721767925601e-05,0.011553433682211178,0.025289686729156314,0.025289686729156314,0.0,26,2017-09-03
27,189,1.0682679404055224,1.0682679404055224,0.13602444931713942,0.0072551939103154385,0.002473948766473436,5.6808711594810754e-05,0.011553433682211178,0.0010988873460159325,0.0010988873460159325,0.0,27,2017-09-10
28,196,1.0686353638545167,1.0686353638545167,0.13158626514967797,0.007130941178541965,0.0023978771375987524,5.478405392699333e-05,0.011553433682211178,0.00034394315798229693,0.00034394315798229693,0.0,28,2017-09-17
29,203,1.0676521771002285,1.0686353638545167,0.1249095471998416,0.0070294982076904095,0.002283466218788355,5.292413733282466e-05,0.011553433682211178,-0.0009200395079027747,-0.0009200395079027747,0.0009200395079027747,29,2017-09-24
30,210,1.068982250410815,1.068982250410815,0.12293205149775477,0.006909834409744618,0.002248877102189018,5.121173273850446e-05,0.011553433682211178,0.0012457927208082485,0.0012457927208082485,0.0,30,2017-10-01
31,217,1.0706083403627433,1.0706083403627433,0.12160393958509985,0.006794951628007259,0.00222540226376909,4.963438390683874e-05,0.011553433682211178,0.0015211571111712486,0.0015211571111712486,0.0,31,2017-10-08
32,224,1.0761509971344057,1.0761509971344057,0.12703203661413665,0.006704792068880786,0.002317643119629667,4.892088642042696e-05,0.011553433682211178,0.0051771096513075565,0.0051771096513075565,0.0,32,2017-10-15
33,231,1.07511391515165,1.0761509971344057,0.12124574096118113,0.006623873118317087,0.002218208612921239,4.746657802019673e-05,0.011553433682211178,-0.0009636956017484633,-0.0009636956017484633,0.0009636956017484633,33,2017-10-22
34,238,1.0746157728196448,1.0761509971344057,0.11668413006010381,0.006538931081919292,0.002139339562044365,4.60768164059922e-05,0.011553433682211178,-0.0004633391168924783,-0.0004633391168924783,0.0014265882007718743,34,2017-10-29
35,245,1.0768872646395944,1.0768872646395944,0.11667577242235905,0.006442054122921705,0.002138609036039886,4.4887993893893915e-05,0.011553433682211178,0.0021137711518876027,0.0021137711518876027,0.0,35,2017-11-05
36,252,1.0740431605648746,1.0768872646395944,0.10900185682971664,0.006399135120704127,0.0020058409625509648,4.383485797415892e-05,0.011553433682211178,-0.0026410416095612814,-0.0026410416095612814,0.0026410416095612814,36,2017-11-12
37,259,1.0766661779566205,1.0768872646395944,0.10971325881619376,0.006310040092143655,0.002017634177903252,4.28113291547777e-05,0.011553433682211178,0.0024421899305855943,0.0024421899305855943,0.0002053016042008153,37,2017-11-19
38,266,1.0800457555424592,1.0800457555424592,0.11144677667706637,0.0062268425638714224,0.0020471419094085937,4.194400125157051e-05,0.011553433682211178,0.003138927975106225,0.003138927975106225,0.0,38,2017-11-26
39,273,1.081416536018511,1.081416536018511,0.11032092525779524,0.006145626863188222,0.002027194358162918,4.090981754470466e-05,0.011553433682211178,0.0012691874108272368,0.0012691874108272368,0.0,39,2017-12-03
40,280,1.0852844856699586,1.0852844856699586,0.11258606094144574,0.006071270719432084,0.0020659330886842824,4.020689947183812e-05,0.011553433682211178,0.0035767435790174888,0.0035767435790174888,0.0,40,2017-12-10
41,287,1.0889719296338478,1.0889719296338478,0.11449203460125523,0.005998506225145778,0.00209841459869481,3.950780912861322e-05,0.011553433682211178,0.0033976749991159244,0.0033976749991159244,0.0,41,2017-12-17
42,294,1.0890428803701155,1.0890428803701155,0.11170924394473025,0.0059332029650202,0.002050003628979958,3.856724807857156e-05,0.011553433682211178,6.51538706710133e-05,6.51538706710133e-05,0.0,42,2017-12-24
43,301,1.1061768040092061,1.1061768040092061,0.1301672637850544,0.0062224429115754236,0.0023682131032105474,4.342679197868882e-05,0.011553433682211178,0.01573301102089532,0.01573301102089532,0.0,43,2017-12-31
44,308,1.1084423407241197,1.1084423407241197,0.129764528559414,0.006149852673869297,0.0023609373123653038,4.2535151814345646e-05,0.011553433682211178,0.002048078306019813,0.002048078306019813,0.0,44,2018-01-07
45,315,1.1104164618246957,1.1104164618246957,0.12903102009854805,0.006080181009077108,0.002348049521661635,4.1660413190358634e-05,0.011553433682211178,0.0017809867307002041,0.0017809867307002041,0.0,45,2018-01-14
46,322,1.1093443822668927,1.1104164618246957,0.1248239911270852,0.006032061027951528,0.0022760163754947126,4.0775015998518437e-05,0.011553433682211178,-0.0009654752020167961,-0.0009654752020167961,0.0009654752020167961,46,2018-01-21
47,329,1.1271771348273099,1.1271771348273099,0.14203991555704265,0.006296515349775735,0.0025696125699220134,4.540548014882518e-05,0.011553433682211178,0.016075037513577865,0.016075037513577865,0.0,47,2018-01-28
48,336,1.1211978267055598,1.1271771348273099,0.13232292042145644,0.006332008350412311,0.002405564916760952,4.504577378199048e-05,0.011553433682211178,-0.005304674781808926,-0.005304674781808926,0.005304674781808926,48,2018-02-04
49,343,1.1175947345100925,1.1271771348273099,0.12559278895506099,0.00631691550385845,0.0022908878840580222,4.4337233239744005e-05,0.011553433682211178,-0.0032136096856826136,-0.0032136096856826136,0.008501237313233323,49,2018-02-11
