,trade_days,wealths,max_weath,cagr,std,mean,mean_square,mdd,profit,reward,dd,episode,date
0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019-03-03
1,7,1.0014639280795352,1.0014639280795352,0.07926210756553709,0.0,0.001463928079535215,2.1430854220516628e-06,0.0,0.001463928079535215,0.001463928079535215,0.0,1,2019-03-10
2,14,1.0071706607553437,1.0071706607553437,0.20476229450918848,0.002994217192415463,0.003581159360637534,1.730737066396e-05,0.0,0.005698390641739853,0.005698390641739853,0.0,2,2019-03-17
3,21,1.0121147926907978,1.0121147926907978,0.23281646177313275,0.0022517388947579996,0.004023750124394084,1.957078376367206e-05,0.0,0.004908931651907182,0.004908931651907182,0.0,3,2019-03-24
4,28,1.0115814968725623,1.0121147926907978,0.1619568564580054,0.0029252950306414174,0.0028860844973110735,1.474749698784084e-05,0.0005269123839379572,-0.0005269123839379572,-0.0005269123839379572,0.0005269123839379572,4,2019-03-31
5,35,1.0130160306279894,1.0130160306279894,0.1443797733942609,0.0026170600173190894,0.002592489581814002,1.2200204739214291e-05,0.0005269123839379572,0.0014181099198257144,0.0014181099198257144,0.0,5,2019-04-07
6,42,1.0145034542172922,1.0145034542172922,0.13330330219333852,0.0023853368137504304,0.002405126650744868,1.052616063531744e-05,0.0005269123839379572,0.0014683119953992007,0.0014683119953992007,0.0,6,2019-04-14
7,49,1.0138346425083282,1.0145034542172922,0.1077684868080715,0.0024663764952785163,0.00196735851458338,9.08451068187144e-06,0.0006592503023855497,-0.0006592503023855497,-0.0006592503023855497,0.0006592503023855497,7,2019-04-21
8,56,1.024528731631936,1.024528731631936,0.17110235718541622,0.0037970749954440515,0.0030399585894049985,2.1856904431195364e-05,0.0006592503023855497,0.010548159113156326,0.010548159113156326,0.0,8,2019-04-28
9,63,1.0225574988160193,1.024528731631936,0.13796097963334852,0.003918351039903991,0.0024884033472821697,1.983968443824661e-05,0.0019240385897004613,-0.0019240385897004613,-0.0019240385897004613,0.0019240385897004613,9,2019-05-05
10,70,1.0234432780007172,1.024528731631936,0.1284320517702251,0.0037297017222031985,0.0023261869125031985,1.7930752994846115e-05,0.0019240385897004613,0.0008662389994924582,0.0008662389994924582,0.00105946626747093,10,2019-05-12
11,77,1.01828109592369,1.024528731631936,0.08966964503361963,0.004178237874059716,0.0016561757667830086,1.8613528836140243e-05,0.006098058078170531,-0.0050439356904188925,-0.0050439356904188925,0.006098058078170531,11,2019-05-19
12,84,1.0181759838989746,1.024528731631936,0.08141438255015077,0.004016038874552328,0.0015095590396067367,1.7063289382480983e-05,0.00620065356570566,-0.00010322495933225379,-0.00010322495933225379,0.00620065356570566,12,2019-05-26
13,91,1.016784844075416,1.024528731631936,0.06904428638805649,0.003926922562243727,0.00128833866193981,1.5894328024641633e-05,0.007558487446403914,-0.0013663058700633063,-0.0013663058700633063,0.007558487446403914,13,2019-06-02
14,98,1.0355104490573273,1.0355104490573273,0.1387875932200966,0.00593209569534131,0.002511777837317802,3.8985233004250165e-05,0.007558487446403914,0.018416487117231695,0.018416487117231695,0.0,14,2019-06-09
15,105,1.0368955039590073,1.0368955039590073,0.13422137383606958,0.00572434490924113,0.0024334964901374465,3.6505488164802456e-05,0.007558487446403914,0.0013375576296124677,0.0013375576296124677,0.0,15,2019-06-16
16,112,1.0465975955074054,1.0465975955074054,0.16000733621479668,0.005794773310220429,0.002866207040011136,3.969582815574974e-05,0.007558487446403914,0.009356865288116474,0.009356865288116474,0.0,16,2019-06-23
17,119,1.0435980356238261,1.0465975955074054,0.13984471999754122,0.00578044355651549,0.0025290177625212043,3.784395692320558e-05,0.007558487446403914,-0.0028660106773176954,-0.0028660106773176954,0.0028660106773176954,17,2019-06-30
18,126,1.060675159515063,1.060675159515063,0.18606295151242347,0.006487007819060058,0.003297611151789639,5.061766139492336e-05,0.007558487446403914,0.01636369876935302,0.01636369876935302,0.0,18,2019-07-07
19,133,1.0670137743977985,1.0670137743977985,0.19483715114663513,0.006334113522187488,0.003438579984747105,4.9833195154411344e-05,0.007558487446403914,0.0059760189779815,0.0059760189779815,0.0,19,2019-07-14
20,140,1.0659131947990643,1.0670137743977985,0.18106770061423383,0.0062456724776909925,0.0032150780993323727,4.7394730648464075e-05,0.007558487446403914,-0.0010314577235475378,-0.0010314577235475378,0.0010314577235475378,20,2019-07-21
21,147,1.0776312936560104,1.0776312936560104,0.20399108745874184,0.0063197410265003265,0.003585478344779553,5.089291842948444e-05,0.007558487446403914,0.010993483253723173,0.010993483253723173,0.0,21,2019-07-28
