,DD_5_Q_0.1,DD_5_Q_0.03,DD_5_Q_0.01,DD_10_Q_0.1,DD_10_Q_0.03,DD_10_Q_0.01,DD_15_Q_0.1,DD_15_Q_0.03,DD_15_Q_0.01
Bitcoin,-0.22292798083086607,-0.1181870488064125,-0.06725127024752328,-0.17767864606768585,-0.10620397536933597,-0.14516724559750724,-0.13428529172471307,-0.13635248687661253,-0.12558103455771183
Tesla,-0.146590918502187,-0.1625226225375566,-0.1769597588811522,-0.1421076972227135,-0.15338492464544756,-0.24707696450326788,-0.11780288793781118,-0.17687160082558245,-0.2889938003072879
S&P500,-0.3753289089699876,-0.44899697368739444,-0.4320228170552262,-0.4012145579103865,-0.4293649170209547,-0.5674353740437742,-0.40751199066371063,-0.4305248900208684,-0.5916920341581345
Bond,-0.17448609658574066,-0.17915520823524933,-0.23410423687335183,-0.1696702687551859,-0.20437240966522813,-0.3313768257538828,-0.1698256335715986,-0.21404911154973202,-0.33603880353218735
Gold,-0.2536206751900077,-0.2692545611661766,-0.29614377305037126,-0.26242639377047144,-0.2798810303287944,-0.3352252284241664,-0.26815610875226653,-0.2870032044018984,-0.3436006918794172
