Date,SPY,IVV,VTI,QQQ,AGG,VWO,IWM,IJR,VTV,BND,VUG,IWF,IJH,GLD,EFA,VIG,IWD,VO,LQD,VB,VGT,XLK,XLF,ITOT,VNQ,VYM,VEU,BSV,IVW,EEM,IAU,DIA,IWR,IWB,MBB,TIP,XLV,XLE,VBR,RSP,IGSB,VV,HYG,IVE,MDY,SHY,XLY,XLI,SDY,PFF,IWN,DVY,SHV,VXF,VBK,SLV,VGK,TLT,IWP,BIV,IEF,GDX,VHT,EWJ,IWS,VOE,IWO
2007/5/4,0.003791108,0.004651346,0.002947881,0.000858425,0.001301873,0.003770391,0.006317827,0.009885197,0.001107194,0.000797293,0.005504986,0.005252106,0.006669299,0.010371975,0.009399956,-0.000707009,0.004346496,0.002003151,0.00242953,0.003665469,0.003037033,0.004014352,0.003458224,0.002985273,-0.008691425,0.001838351,0.007918017,0.0009311,0.001750339,-0.000320448,0.010062196,0.002644159,0.002374148,0.004397084,0.002485568,0.000496353,0.00547982,-0.000773023,0.003328411,0.000778074,0.000398037,0.001193717,0.001234594,0.003543743,0.006816517,0.000500636,0.002284433,0.001054324,0.002314679,-0.000199925,0.005292738,0.002820955,0.000182976,0.004963642,0.005687367,0.00495607,0.013262828,0.004080046,0.004763969,0.002392891,0.002537932,0,0.004026869,0.003477043,0.001560146,-0.000323417,0.007258517
2007/5/7,0.000198687,0.000132429,0.00160333,0,0.000999221,0.003521516,-0.002897253,-0.003915042,0.003870434,0.000663516,-0.00064392,-0.001011206,-0.001796918,0.000879859,0.001489987,0.003006195,0.000341713,0.000999456,0.00121216,0.000405343,-0.000356243,-0.001199528,0.001325458,0.001116359,0.002795229,0.002569984,0.002856867,0,0.00043696,0.006494297,0.000878928,0.002259689,0.001730915,-0.000608196,0,-0.000694356,0.002179823,0.002629674,0.001194239,0.001750066,0.000398087,0.003279125,-9.39E-05,0.002799555,-0.001908204,0,0,0.002633001,0.006774522,0.000598153,0.000837052,0.003884027,-0.000182942,-0.00107764,-0.002482516,0.005454678,0.000522946,0.002708542,-0.001404879,0.000265149,0.000843108,0.006632156,0.004011174,0.004850863,0.001806443,0.001293756,-0.003071146
2007/5/8,-0.001324962,-0.001719681,-0.001000677,0.002144314,-0.001098173,-0.009006817,-0.003512223,-0.002807688,-0.000275464,0.000132584,-0.000644626,-0.001180806,-0.00202449,-0.005421286,-0.008182523,-0.002115628,-0.000455241,-0.003244901,-0.000558956,-0.002974142,0.005879185,0.004003292,-0.002117793,-0.00170949,-0.006588464,-0.001281644,-0.009079588,0.000265936,0.000436559,-0.012983985,-0.005269288,0.000601833,-0.001909784,-0.000243113,0.000992193,0.001191721,-0.003806591,0.000154301,-0.001192815,-0.000582429,-0.000397929,-0.000891391,0.000758191,-0.002306641,-0.000863092,0.000499123,-0.004304195,-0.000525191,-0.000917778,0.001393877,-0.002988542,-0.00146801,0.000365873,-0.002157521,0.000414313,-0.004161765,-0.010465601,-0.002251521,-0.002285997,0.000132245,0,-0.005612365,-0.00287652,-0.002068847,-0.00167895,-0.001453512,-0.002607196
2007/5/9,0.002719365,0.003246461,0.003539073,0.002140002,-0.001200251,0.01203963,0.004010812,0.005771845,0.00330534,-0.001192942,0.003385923,0.003208899,0.006650189,-0.006334713,0.005500067,0.003709615,0.004100303,0.008388179,-0.001583805,0.008135759,0.002302561,-0.001195804,0.005306133,0.004467425,0.010841444,0.004399847,0.00718633,0.000132525,0.001891445,0.016140536,-0.006327284,0.003379778,0.006104468,0.003407969,-0.002675756,-0.003175467,0.003274823,-0.000462574,0.005175219,0.004272248,-0.000297656,0.003122204,-0.0026542,0.006206298,0.007653009,-0.000748541,0.006102116,0.002627867,0.002449389,-0.000596139,0.000719065,0.001470168,0.000549665,0.006486891,0.006634355,-0.005671587,0.00211531,-0.003948351,0.00828409,-0.001458116,-0.003251852,-0.003681142,0.001442409,0.01243955,0.005169958,0.005983261,0.007009474
2007/5/10,-0.010451951,-0.011291662,-0.012575206,-0.013666711,0.001701316,-0.024842296,-0.012345752,-0.012457995,-0.013040526,0.000929074,-0.013980248,-0.012458069,-0.008174001,-0.021497361,-0.019766298,-0.010207821,-0.012817858,-0.012043533,0.000466005,-0.016543187,-0.013076608,-0.005190092,-0.014251722,-0.012304715,-0.013374859,-0.012228671,-0.018908365,-0.000663964,-0.012634022,-0.024461689,-0.021471936,-0.008010627,-0.01240608,-0.012493818,0.001788737,0.00219027,-0.017681695,-0.016203785,-0.013861488,-0.011987767,0.000895416,-0.014080404,0.003611095,-0.012698532,-0.009983634,0.000874545,-0.010866712,-0.006813893,-0.011299645,-0.001193905,-0.011502133,-0.011074157,9.16E-05,-0.013517451,-0.018948136,-0.027844512,-0.023746375,0.002378165,-0.012236726,0.001327825,0.00253827,-0.027586248,-0.018083065,-0.015017062,-0.008985405,-0.012216916,-0.01781499
2007/5/11,0.008557073,0.009082604,0.009366117,0.012773614,-0.001997414,0.026192731,0.00906794,0.007654048,0.011126523,-0.001326954,0.010430207,0.007671571,0.005419125,0.006818136,0.016867774,0.006045876,0.009996433,0.009048898,-0.001025314,0.01244494,0.011638474,0.010834838,0.010709706,0.00870575,0.013556171,0.005173613,0.027272757,0.000132936,0.007648125,0.025400638,0.007112653,0.007999518,0.008160619,0.0088441,-0.000991981,-0.001787819,0.003876275,0.022901806,0.010174127,0.00704498,-9.94E-05,0.010673802,0.0005689,0.009554014,0.005444576,-0.000375313,0.004087547,0.007652001,0.006486734,0.003785922,0.009091088,0.009713718,9.17E-05,0.010617221,0.013156194,0.014977244,0.022567253,-0.003501987,0.005928698,-0.001590975,-0.002048924,0.006838782,0.004726555,0.007622925,0.006753465,0.007974251,0.012852732
2007/5/14,-0.002187496,-0.001787039,-0.003003837,-0.006840429,0.000199956,-0.006293638,-0.008744224,-0.00844017,-0.00343881,-0.000664124,-0.004193396,-0.002030049,-0.003031906,-0.002558287,-0.003741906,-0.001413978,-0.00147884,-0.004234787,-0.001026798,-0.007834559,-0.005132994,-0.004763452,-0.004768301,-0.002529525,-0.005678061,-0.000919054,-0.01327435,-0.000132918,-0.000146298,-0.009924672,-0.002704752,0.001198821,-0.003092172,-0.002800699,-0.000595507,-0.00159178,-0.001102837,0.000306757,-0.005566027,-0.002526644,-0.000298962,-0.002975006,-9.51E-05,-0.002062027,-0.002154088,-0.000749187,0,-0.00445156,-0.001074439,0.002183665,-0.006606574,-0.000801451,9.15E-05,-0.006374945,-0.006492795,-0.007378118,-0.005946814,-0.002608585,-0.003606677,-0.000531676,-0.001449031,-0.014842613,0.001459725,-0.00275109,-0.002484455,-0.001614596,-0.011740712
2007/5/15,0.000265625,-0.000596724,-0.00267801,-0.007748833,-0.000399715,0.000469232,-0.007963649,-0.004823271,0.001656588,-0.000399068,-0.003725335,-0.003560219,-0.003716653,0.003922784,0.001752801,-0.001946906,0.001709346,-0.004503002,-0.002243442,-0.00721575,-0.007471895,-0.001595981,-0.002395532,-0.001044382,-0.015228137,0.002943809,-0.00179336,-0.000399283,-0.004087248,0.001203081,0.004369415,0.002991076,-0.004561764,-0.001587513,0,-0.002691463,-0.001104862,0.003372777,-0.007462542,-0.00136337,0.00019916,0.000149034,-0.000756897,0.001215199,-0.003700039,0.00025072,-0.00356194,0.002630029,-0.002611067,-0.000396016,-0.009431828,-0.000133682,0.000366063,-0.005693301,-0.007507846,0.005593866,0.00239313,-0.000341031,-0.007239234,-0.000930211,-0.000119977,-0.002298151,-0.00356346,-0.008275714,-0.002241655,-0.004527799,-0.007800612
2007/5/16,0.00684095,0.00749711,0.008592912,0.009760912,0.00019988,0.016060828,0.00543436,0.003706164,0.007578979,0.000399227,0.009429407,0.005784163,0.004635071,-0.014126877,0.001499454,0.007802453,0.007051229,0.004146247,0.002342132,0.00671975,0.009858436,0.008789291,0.011472543,0.006944122,-0.012371128,0.008805828,0.006648337,0.000133261,0.008208538,0.014497503,-0.014551474,0.007455907,0.004032791,0.008561137,0.000496779,-0.0009993,0.011335561,0.003819802,0.006847406,0.006047627,-0.001492674,0.007309025,0.002652796,0.008015213,0.003589991,0.00099907,0.003574673,0.004984041,0.01031879,-0.002576034,0.008300948,0.006152228,0.000548464,0.004271614,0.005743343,-0.020041186,0.00318276,-0.000682032,0.005335664,0.000399636,-0.000605179,-0.016125181,0.009427831,0.00208603,0.003744165,0.000974638,0.004959013
2007/5/17,-0.001979288,-0.00217371,-0.002396524,-0.004725582,-0.001701478,-0.005769118,-0.007738513,-0.004828232,-0.000957324,-0.001461683,-0.000644387,0.000169574,0.000675337,-0.008231721,-0.005116031,-0.000351716,-0.001242,-0.001751395,-0.002990894,-0.004086783,-0.002130175,-0.002772452,-0.005011678,0,-0.017354227,-0.000181967,-0.002320437,-0.000797826,0,-0.003631829,-0.007915904,-0.001405677,-0.001186531,-0.000727855,-0.001985788,-0.000399838,-0.003827137,0.015981561,-0.005733864,0.000775508,0.000997193,-0.00074054,-0.000283644,-0.000361293,0.000431711,-0.000624183,0.001527376,0.001828028,-0.003658861,-0.001788387,-0.007748489,-0.00146196,9.14E-05,-0.001900376,-0.002645996,-0.006998383,-0.001718554,-0.004097357,-0.000884429,-0.002659602,-0.002662632,-0.004682284,-0.003542727,-0.00832732,-0.000310866,0.001136261,-0.006739663
