Date,SHV,LQD,BND,BSV,SHY,MBB,SPY,GLD,IGSB,AGG
2007-04-20,-9.17e-05,-0.000280571,-0.000265454,0.000530868,-0.000249286,-0.002178274,0.009441032,0.017325606,-0.000694588,-0.00049935
2007-04-23,0.000366312,0.002896164,0.001328487,0.000531948,0.000747239,0.002382098,-0.003767895,-0.006404583,0.000199544,0.000998734
2007-04-24,9.08e-05,0.002515217,0.00159221,0.000531597,0.000871951,0.000989566,0.000405186,-0.007764412,0.001091233,0.000498056
2007-04-25,0.000274452,-0.001394392,-0.000794488,-0.000266609,-0.000373302,-0.000296576,0.00918152,0.002362262,0.00029789,0.000399685
2007-04-26,-0.000274377,-0.002139007,-0.002121492,-0.001193939,-0.00074608,-0.001286455,0.001137662,-0.015024255,-0.000594874,-0.001893977
2007-04-27,0.000366145,-0.000280188,-0.00026576,-0.000132682,0.000372802,-0.000495305,-0.000802234,0.01031845,-0.001785686,-0.00019898
2007-04-30,0.000182614,0.004850963,0.003322649,0.001860932,0.000747277,0.001981747,-0.008292471,-0.006956797,0.002186305,0.003394953
2007-05-01,0.000284475,-0.000560107,-0.00057062,-2.64e-05,-0.000424353,0.000129779,0.002562675,-0.00596205,-0.000159226,-0.000578944
2007-05-02,0.000458473,-0.000280241,0.000132082,-0.000663916,0.000498904,0.000198621,0.005852042,-0.000449824,-0.000199403,0.000299835
2007-05-03,9.17e-05,-0.001399318,-0.000663214,-0.000532289,-0.000749187,-0.001191714,0.005416684,0.012451157,0.000299112,-0.001100301
2007-05-04,0.000182976,0.00242953,0.000797293,0.0009311,0.000500636,0.002485568,0.003791108,0.010371975,0.000398037,0.001301873
2007-05-07,-0.000182942,0.00121216,0.000663516,0.0,0.0,0.0,0.000198687,0.000879859,0.000398087,0.000999221
2007-05-08,0.000365873,-0.000558956,0.000132584,0.000265936,0.000499123,0.000992193,-0.001324962,-0.005421286,-0.000397929,-0.001098173
