ymbol	Name	AUM	Avg Volume
ACWI	iShares MSCI ACWI ETF	"$15,489,600.00"	"3,785,255"
ESGU	iShares ESG MSCI USA ETF	"$15,324,100.00"	"1,029,350"
SLV	iShares Silver Trust	"$15,246,000.00"	"42,818,539"
IWP	iShares Russell Midcap Growth ETF	"$14,907,200.00"	"929,337"
TLT	iShares 20+ Year Treasury Bond ETF	"$14,888,500.00"	"13,615,644"
MINT	PIMCO Enhanced Short Maturity Strategy Fund	"$14,665,700.00"	"1,094,747"
MTUM	iShares Edge MSCI USA Momentum Factor ETF	"$14,456,600.00"	"1,433,734"
GDX	VanEck Vectors Gold Miners ETF	"$14,368,900.00"	"24,055,211"
GOVT	iShares U.S. Treasury Bond ETF	"$14,229,400.00"	"6,159,406"
BIV	Vanguard Intermediate-Term Bond ETF	"$14,218,100.00"	"1,483,523"
VLUE	iShares Edge MSCI USA Value Factor ETF	"$14,202,700.00"	"1,204,863"
VMBS	Vanguard Mortgage-Backed Securities ETF	"$13,902,800.00"	"1,397,198"
VHT	Vanguard Healthcare ETF	"$13,817,300.00"	"259,182"
IEF	iShares 7-10 Year Treasury Bond ETF	"$13,759,600.00"	"6,653,672"
XLC	Communication Services Select Sector SPDR Fund	"$13,690,400.00"	"4,139,314"
EWJ	iShares MSCI Japan ETF	"$13,521,000.00"	"6,853,676"
SCHG	Schwab U.S. Large-Cap Growth ETF	"$13,512,000.00"	"473,919"
SCZ	iShares MSCI EAFE Small-Cap ETF	"$13,442,100.00"	"1,799,732"
VOE	Vanguard Mid-Cap Value ETF	"$13,325,900.00"	"360,019"
IWS	iShares Russell Midcap Value ETF	"$13,241,600.00"	"656,289"
IWO	iShares Russell 2000 Growth ETF	"$12,776,400.00"	"648,182"
