,trade_days,wealths,max_weath,cagr,std,mean,mean_square,mdd,profit,reward,dd,episode
0,7,1.0024626236505767,1.0024626236505767,0.13683761043522713,0.0,0.0024626236505767007,6.064515244379716e-06,0.0,0.0024626236505767007,0.0024626236505767007,0.0,1
1,14,1.0030337787350354,1.0030337787350354,0.08217749392742069,0.0013384623802441427,0.0015161878251429804,3.1945662927762087e-06,0.0,0.0005697519997092603,0.0005697519997092603,0.0,2
2,21,1.0054363449486425,1.0054363449486425,0.0988156772395632,0.0010739428112019236,0.0018092250184978422,4.042197275380045e-06,0.0,0.002395299405207565,0.002395299405207565,0.0,3
3,28,1.0056942178823545,1.0056942178823545,0.07682582259037396,0.0011711778031417007,0.0014210384207287107,3.048093278116014e-06,0.0,0.00025647862742131676,0.00025647862742131676,0.0,4
4,35,1.0092570369186054,1.0092570369186054,0.1008620809879417,0.0013888798359302937,0.0018453600236962933,4.948543375979392e-06,0.0,0.003542646435566623,0.003542646435566623,0.0,5
5,42,1.0082414749611723,1.0092570369186054,0.07393429532023665,0.001702488457616872,0.0013700921712531211,4.292541681327989e-06,0.0010062470909627387,-0.0010062470909627387,-0.0010062470909627387,0.0010062470909627387,6
6,49,1.0471968638286564,1.0471968638286564,0.40990757247498855,0.014171033875631966,0.006693930904196402,0.00021693859761099166,0.0010062470909627387,0.038636963301856085,0.038636963301856085,0.0,7
7,56,1.0629371011911726,1.0629371011911726,0.4885811976968637,0.0134468535775338,0.007736043210692057,0.00021806200180137403,0.0010062470909627387,0.015030829356161643,0.015030829356161643,0.0,8
8,63,1.0753139652234096,1.0753139652234096,0.5230158925044908,0.0126456538035275,0.008170263185025365,0.00020889769839584264,0.0010062470909627387,0.01164402297969183,0.01164402297969183,0.0,9
9,70,1.0764592609256094,1.0764592609256094,0.46840082641726566,0.01213230647035599,0.0074597448948047675,0.00018812136815714344,0.0010062470909627387,0.00106508028281939,0.00106508028281939,0.0,10
10,77,1.072801139339706,1.0764592609256094,0.39530470493757797,0.011966264153415743,0.006472650742173607,0.00017206927834772652,0.003398290784138005,-0.003398290784138005,-0.003398290784138005,0.003398290784138005,11
11,84,1.067579650455494,1.0764592609256094,0.3286359787653179,0.0118697094578197,0.005527666972670639,0.00015970427122272035,0.008248905269745336,-0.004867154491862001,-0.004867154491862001,0.008248905269745336,12
12,91,1.0678602658132075,1.0764592609256094,0.3012808950198482,0.011457807131369407,0.005122681199160474,0.00014742464198484113,0.008248905269745336,0.0002628519170384918,0.0002628519170384918,0.007988221593270466,13
13,98,1.0661924527132656,1.0764592609256094,0.2696190286500382,0.011152326988462663,0.004645216320797397,0.00013706854640619572,0.009537572470244492,-0.0015618270979226075,-0.0015618270979226075,0.009537572470244492,14
14,105,1.046529479236361,1.0764592609256094,0.171277657465579,0.012289258612247769,0.0031060527925671506,0.0001506050493730064,0.02780391490478957,-0.018442236602656304,-0.018442236602656304,0.02780391490478957,15
15,112,1.0501325716701655,1.0764592609256094,0.172824687801437,0.01187285041146567,0.0031271055095063627,0.00014193307970481058,0.02780391490478957,0.0034428962635945437,0.0034428962635945437,0.024456744635934023,16
16,119,1.0490053831436277,1.0764592609256094,0.15805709547406543,0.01154089149518742,0.00288001828193828,0.00013365184789600632,0.02780391490478957,-0.001073377359151042,-0.001073377359151042,0.025503870679114318,17
17,126,1.0897507347780981,1.0897507347780981,0.28271536082049353,0.014042966565989823,0.00487790004050437,0.00021004299044679892,0.02780391490478957,0.038841889936127895,0.038841889936127895,0.0,18
18,133,1.0966560432465946,1.0966560432465946,0.28815385761857026,0.013651412767838163,0.004954673430990647,0.00020110138196787549,0.02780391490478957,0.006336594459743645,0.006336594459743645,0.0,19
19,140,1.123699734045112,1.123699734045112,0.3553532786847893,0.01399885218258933,0.005939946724799914,0.00022145243640194802,0.02780391490478957,0.02466013930717598,0.02466013930717598,0.0,20
20,147,1.1235318055898247,1.123699734045112,0.3353746652837213,0.013708946533371787,0.0056499758111223115,0.00021090814576612085,0.02780391490478957,-0.00014944246242974156,-0.00014944246242974156,0.00014944246242974156,21
21,154,1.1249889724307032,1.1249889724307032,0.3219895784172686,0.013410713214633488,0.005452111093185617,0.00020139787025553088,0.02780391490478957,0.0012969520165150227,0.0012969520165150227,0.0,22
22,161,1.1392519780588237,1.1392519780588237,0.3438835523539783,0.013188734838546337,0.005766295458777365,0.00019963016271412035,0.02780391490478957,0.012678351501795828,0.012678351501795828,0.0,23
23,168,1.1407962615549838,1.1407962615549838,0.33134736941608023,0.012930221204624892,0.005582513318240521,0.00019138879949884182,0.02780391490478957,0.0013555240858930996,0.0013555240858930996,0.0,24
24,175,1.1426073006367357,1.1426073006367357,0.32055528855703597,0.012683167695749745,0.005422713662671323,0.0001838340565538917,0.02780391490478957,0.0015875219290105939,0.0015875219290105939,0.0,25
25,182,1.141945458107549,1.1426073006367357,0.3049908175063767,0.012482537793798702,0.00519186933558524,0.00017677642044164896,0.02780391490478957,-0.0005792388415668625,-0.0005792388415668625,0.0005792388415668625,26
26,189,1.16274287462032,1.16274287462032,0.33802184727806095,0.012493991791816877,0.005674106316291123,0.00018251383816426643,0.02780391490478957,0.01821226781464409,0.01821226781464409,0.0,27
27,196,1.1709288729738168,1.1709288729738168,0.3415924390137941,0.012263156640909855,0.005722897095498979,0.00017776566872232312,0.02780391490478957,0.007040248134111068,0.007040248134111068,0.0,28
28,203,1.1782863299297919,1.1782863299297919,0.3431085531498519,0.012042630617239227,0.005742226032725701,0.0001729972515740677,0.02780391490478957,0.006283436275073932,0.006283436275073932,0.0,29
