,trade_days,wealths,max_weath,cagr,std,mean,mean_square,mdd,profit,reward,dd,episode,date
0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2017-03-05
1,7,0.9933705418848733,1.0,-0.2930743694307846,0.0,-0.0066294581151267185,4.39497149002195e-05,0.0066294581151267185,-0.0066294581151267185,-0.0066294581151267185,0.0066294581151267185,1,2017-03-12
2,14,0.9975922612433905,1.0,-0.06091462362888256,0.0076928635507301345,-0.0011897821316626186,3.100565632589977e-05,0.0066294581151267185,0.004249893851801481,0.004249893851801481,0.00240773875660949,2,2017-03-19
3,21,0.9985210471299649,1.0,-0.025396577481632154,0.005575782700026939,-0.0004828455685388861,2.0959374988337447e-05,0.0066294581151267185,0.0009310275577085789,0.0009310275577085789,0.0014789528700350774,3,2017-03-26
4,28,1.0002271978962984,1.0002271978962984,0.0029657395987148227,0.004682619868859373,6.50352786707884e-05,1.6449426214649214e-05,0.0066294581151267185,0.0017086778202998118,0.0017086778202998118,0.0,4,2017-04-02
5,35,1.0000559555642288,1.0002271978962984,0.0005836905540086423,0.004056643732588022,1.778753593475227e-05,1.3165403094951173e-05,0.0066294581151267185,-0.00017120343500939223,-0.00017120343500939223,0.00017120343500939223,5,2017-04-09
6,42,1.0068352340389888,1.0068352340389888,0.06098672489639001,0.0045589317197518905,0.0011446394728844259,1.863008154401841e-05,0.0066294581151267185,0.006778899157632794,0.006778899157632794,0.0,6,2017-04-16
7,49,1.0085897874890208,1.0085897874890208,0.06578530807969485,0.00416784941581369,0.0012300684172644849,1.6402470099350282e-05,0.0066294581151267185,0.0017426420835448392,0.0017426420835448392,0.0,7,2017-04-23
8,56,1.0083127339897435,1.0085897874890208,0.05543948735920767,0.003895181703842704,0.001041973123014396,1.4361593431791453e-05,0.0066294581151267185,-0.0002746939367362265,-0.0002746939367362265,0.0002746939367362265,8,2017-04-30
9,63,1.0068508170484105,1.0085897874890208,0.04034865346845451,0.0037370847853345794,0.0007651022646160517,1.2999428313346569e-05,0.0066294581151267185,-0.0014498646025707035,-0.0014498646025707035,0.0017241602702915155,9,2017-05-07
10,70,1.0077767414173826,1.0085897874890208,0.041220195558575146,0.0035236961476021885,0.0007805544573424698,1.1784056347441049e-05,0.0066294581151267185,0.0009196241918802337,0.0009196241918802337,0.0008061216579065206,10,2017-05-14
11,77,1.0095303445777972,1.0095303445777972,0.04598852358455363,0.003355367126597268,0.0008677832410019077,1.0988037348136144e-05,0.0066294581151267185,0.0017400710775962859,0.0017400710775962859,0.0,11,2017-05-21
12,84,1.0099266067688424,1.0099266067688424,0.043855209560400565,0.003202157463123577,0.0008281780815467131,1.0085206985172584e-05,0.0066294581151267185,0.0003925213275395737,0.0003925213275395737,0.0,12,2017-05-28
13,91,1.0140319087436644,1.0140319087436644,0.05748200625105615,0.003194562234717462,0.0010771605988608088,1.0580485298645583e-05,0.0066294581151267185,0.004064950806629958,0.004064950806629958,0.0,13,2017-06-04
14,98,1.012202248948064,1.0140319087436644,0.04620790530885244,0.0031643776053269174,0.0008713390245739119,1.0057282637047468e-05,0.0066294581151267185,-0.0018043414411557485,-0.0018043414411557485,0.0018043414411557485,14,2017-06-11
15,105,1.0126993382971066,1.0140319087436644,0.044843759135396954,0.003050850681597647,0.0008459895471266041,9.402875536491981e-06,0.0066294581151267185,0.0004910968628642953,0.0004910968628642953,0.0013141306847127407,15,2017-06-18
16,112,1.013425472882048,1.0140319087436644,0.04441984564945556,0.0029475780994554553,0.0008379295000387654,8.847328958650311e-06,0.0066294581151267185,0.0007170287937211864,0.0007170287937211864,0.0005980441605312058,16,2017-06-25
17,119,1.010248777015309,1.0140319087436644,0.0317695417674142,0.0030122254874068027,0.0006042505755985572,8.904885710565918e-06,0.0066294581151267185,-0.0031346122154447755,-0.0031346122154447755,0.0037307817394450046,17,2017-07-02
18,126,1.0069127523663444,1.0140319087436644,0.020156594860564203,0.00306391194543081,0.0003872265809063574,9.01596992268328e-06,0.007020643350503993,-0.003302181328861039,-0.003302181328861039,0.007020643350503993,18,2017-07-09
19,133,1.0081487938296676,1.0140319087436644,0.02252249275261642,0.00298382161738398,0.0004314544279600526,8.620755344386499e-06,0.007020643350503993,0.001227555674926566,0.001227555674926566,0.005801705906163974,19,2017-07-16
20,140,1.010216580714856,1.0140319087436644,0.026855212790870775,0.0029267320778077065,0.000512435362224993,8.400062622963844e-06,0.007020643350503993,0.002051073113258862,0.002051073113258862,0.0037625325159002794,20,2017-07-23
21,147,1.010770975312833,1.0140319087436644,0.026958225120447654,0.002852636596427977,0.0005141664336659323,8.01440097987083e-06,0.007020643350503993,0.0005487878624847175,0.0005487878624847175,0.003215809485592492,21,2017-07-30
22,154,1.0114583784059017,1.0140319087436644,0.027371327594167827,0.002784112977139091,0.0005217078680369958,7.671133029524442e-06,0.007020643350503993,0.0006800779898293309,0.0006800779898293309,0.002537918497013797,22,2017-08-06
23,161,1.012853473624755,1.0140319087436644,0.029377425030431947,0.0027259732114952966,0.0005589940817366232,7.4203204223461185e-06,0.007020643350503993,0.0013792907831284237,0.0013792907831284237,0.0011621282414766357,23,2017-08-13
24,168,1.0131652831033058,1.0140319087436644,0.028824097332799337,0.0026665472136744874,0.0005485298493519243,7.115089286603751e-06,0.007020643350503993,0.0003078525045038513,0.0003078525045038513,0.0008546335010624776,24,2017-08-20
25,175,1.0155284146147072,1.0155284146147072,0.03266097699181625,0.002634671799958969,0.0006198856346885957,7.048093873852356e-06,0.007020643350503993,0.002332424482768708,0.002332424482768708,0.0,25,2017-08-27
26,182,1.0187116034903492,1.0187116034903492,0.037879045059426186,0.002628125154395966,0.0007166021421909439,7.15490500247036e-06,0.007020643350503993,0.00313451482974965,0.00313451482974965,0.0,26,2017-09-03
27,189,1.020003585048761,1.020003585048761,0.03899090332444466,0.0025792745751966697,0.0007370335649566622,6.949481094045133e-06,0.007020643350503993,0.0012682505568653356,0.0012682505568653356,0.0,27,2017-09-10
28,196,1.017848837165642,1.020003585048761,0.033494471896692746,0.0025877123149893287,0.0006352648483602572,6.8606644875257735e-06,0.007020643350503993,-0.002112490499742677,-0.002112490499742677,0.002112490499742677,28,2017-09-17
29,203,1.016998951043832,1.020003585048761,0.03077169503405819,0.002555707719328805,0.0005845666586784895,6.648131092432723e-06,0.007020643350503993,-0.0008349826524110085,-0.0008349826524110085,0.0029457092592330173,29,2017-09-24
30,210,1.017394946800439,1.020003585048761,0.03042787062520569,0.0025115100803853934,0.0005780603287266777,6.4315805313957916e-06,0.007020643350503993,0.0003893767601241365,0.0003893767601241365,0.0025574794898365087,30,2017-10-01
