,trade_days,wealths,max_weath,cagr,std,mean,mean_square,mdd,profit,reward,dd,episode,date
0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019-03-03
1,7,1.0017947267139924,1.0017947267139924,0.09800873868213067,0.0,0.0017947267139923895,3.22104397791792e-06,0.0,0.0017947267139923895,0.0017947267139923895,0.0,1,2019-03-10
2,14,1.0062260195547557,1.0062260195547557,0.17564625913654308,0.0018587202703241631,0.0031090404214674976,1.139355286397576e-05,0.0,0.004423354128942606,0.004423354128942606,0.0,2,2019-03-17
3,21,1.0101405996772994,1.0101405996772994,0.19168183852677112,0.001389570650203904,0.0033694798387677812,1.264066544513462e-05,0.0,0.003890358673368349,0.003890358673368349,0.0,3,2019-03-24
4,28,1.0125372769421759,1.0125372769421759,0.17634990676651485,0.001239235527080602,0.003120264254229679,1.0887827534907549e-05,0.0,0.0023726175006153725,0.0023726175006153725,0.0,4,2019-03-31
5,35,1.0133150562560578,1.0133150562560578,0.1479074723981988,0.00150275344698876,0.002649841167263798,8.828272549675246e-06,0.0,0.0007681488194002722,0.0007681488194002722,0.0,5,2019-04-07
6,42,1.0135295695588162,1.0135295695588162,0.1238835149638271,0.0016725352423109146,0.002243483402311379,7.3643628904233335e-06,0.0,0.0002116945775492856,0.0002116945775492856,0.0,6,2019-04-14
7,49,1.0130454194959828,1.0135295695588162,0.10136098926523118,0.0018409153403881704,0.0018547447503870155,6.344908909496615e-06,0.00047768716115916525,-0.00047768716115916525,-0.00047768716115916525,0.00047768716115916525,7,2019-04-21
8,56,1.017159756425339,1.017159756425339,0.11727877571548051,0.0018744257354594187,0.002130571013038019,7.61362069963136e-06,0.00047768716115916525,0.0040613548515950415,0.0040613548515950415,0.0,8,2019-04-28
9,63,1.0168818052770825,1.017159756425339,0.10185032276030093,0.0019277794958252425,0.001863478451784909,6.775959748732661e-06,0.00047768716115916525,-0.0002732620382399716,-0.0002732620382399716,0.0002732620382399716,9,2019-05-05
10,70,1.0164694821567821,1.017159756425339,0.08890987805810657,0.001954027663730322,0.0016365828145070184,6.114805008300756e-06,0.0006786291575108156,-0.00040547792099399614,-0.00040547792099399614,0.0006786291575108156,10,2019-05-12
11,77,1.0173214951009624,1.0173214951009624,0.08481055972668172,0.0018693173497377172,0.0015640032941865755,5.622785716981408e-06,0.0006786291575108156,0.0008382080909821462,0.0008382080909821462,0.0,11,2019-05-19
12,84,1.01807728584548,1.01807728584548,0.0809589531712358,0.0017980157369063803,0.0014955798714133483,5.200214692759512e-06,0.0006786291575108156,0.0007429222209078523,0.0007429222209078523,0.0,12,2019-05-26
13,91,1.0202710597117575,1.0202710597117575,0.08382221190090666,0.0017311516912839264,0.0015462906935419444,5.157371381151534e-06,0.0006786291575108156,0.0021548205590850946,0.0021548205590850946,0.0,13,2019-06-02
14,98,1.027926851391521,1.027926851391521,0.10803411518618566,0.00230247578305543,0.0019718187905947717,8.810793022245292e-06,0.0006786291575108156,0.00750368405228153,0.00750368405228153,0.0,14,2019-06-09
15,105,1.0288624026637596,1.0288624026637596,0.1039675781568481,0.002235591339926477,0.0019010398107341775,8.278629758540213e-06,0.0006786291575108156,0.0009101340926858602,0.0009101340926858602,0.0,15,2019-06-16
16,112,1.03491220000181,1.03491220000181,0.11832868224883475,0.0023778618401849756,0.0021497300717095397,9.92217712903219e-06,0.0006786291575108156,0.005880083986339975,0.005880083986339975,0.0,16,2019-06-23
17,119,1.0361995110307824,1.0361995110307824,0.11524005626526557,0.0023128133910370052,0.002096445025832392,9.429534246817466e-06,0.0006786291575108156,0.0012438842917980306,0.0012438842917980306,0.0,17,2019-06-30
18,126,1.0372868403177609,1.0372868403177609,0.11187571617809744,0.002257291475319682,0.002038272722346771,8.966844672738772e-06,0.0006786291575108156,0.0010493435630912105,0.0010493435630912105,0.0,18,2019-07-07
19,133,1.0375469860965978,1.0375469860965978,0.10644825158821325,0.0022316924100280085,0.0019441949183476158,8.498215892822332e-06,0.0006786291575108156,0.0002507944463628172,0.0002507944463628172,0.0,19,2019-07-14
20,140,1.0385091403733997,1.0385091403733997,0.1035297789856422,0.0021840380385896893,0.0018933519533902796,8.11630266571315e-06,0.0006786291575108156,0.0009273356192008918,0.0009273356192008918,0.0,20,2019-07-21
21,147,1.0402143341853782,1.0402143341853782,0.10284856013976529,0.0021294436817403412,0.0018813810613172708,7.858195072839357e-06,0.0006786291575108156,0.0016419632198570973,0.0016419632198570973,0.0,21,2019-07-28
22,154,1.041647072241188,1.041647072241188,0.10153960758039116,0.0020809007739374216,0.0018584705079557307,7.5872357494158025e-06,0.0006786291575108156,0.001377348887363389,0.001377348887363389,0.0,22,2019-08-04
23,161,1.0448015960723176,1.0448015960723176,0.10446313263747431,0.002047640916447909,0.0019093370008293668,7.656104004460254e-06,0.0006786291575108156,0.0030283998440493592,0.0030283998440493592,0.0,23,2019-08-11
24,168,1.0481608700475966,1.0481608700475966,0.1075979344438136,0.0020202951227919295,0.001963749071125045,7.767836448222298e-06,0.0006786291575108156,0.00321522668792564,0.00321522668792564,0.0,24,2019-08-18
25,175,1.0480410388297021,1.0481608700475966,0.10281658401708871,0.0020209556510705443,0.0018806260996391442,7.4576458004941485e-06,0.0006786291575108156,-0.00011432521602247317,-0.00011432521602247317,0.00011432521602247317,25,2019-08-25
26,182,1.051700712538659,1.051700712538659,0.10638078084998792,0.002005180173718991,0.0019425988775418753,7.639793792368995e-06,0.0006786291575108156,0.0034919183251101577,0.0034919183251101577,0.0,26,2019-09-01
27,189,1.0527685014272248,1.0527685014272248,0.10440824639731194,0.001974322948602913,0.0019082543744839118,7.395017303658563e-06,0.0006786291575108156,0.0010152972949768583,0.0010152972949768583,0.0,27,2019-09-08
28,196,1.0460557547766993,1.0527685014272248,0.08746650229555364,0.002490939436059041,0.0016123781498686325,8.582943312498137e-06,0.006376279914743909,-0.006376279914743909,-0.006376279914743909,0.006376279914743909,28,2019-09-15
29,203,1.0507045265865567,1.0527685014272248,0.09300653750363819,0.0025019361076065883,0.0017100235802614326,8.968013749301056e-06,0.006376279914743909,0.00444409563125984,0.00444409563125984,0.0019605210811968732,29,2019-09-22
30,210,1.0505697349415049,1.0527685014272248,0.0895282396501973,0.0024812253600064367,0.0016487465636651742,8.669628542098822e-06,0.006376279914743909,-0.00012828691762632152,-0.00012828691762632152,0.0020885564896167465,30,2019-09-29
31,217,1.0553736538778256,1.0553736538778256,0.09488865793029166,0.0024954057645590545,0.0017430669885208237,9.064459877885144e-06,0.006376279914743909,0.004572679734190311,0.004572679734190311,0.0,31,2019-10-06
32,224,1.0513583019215083,1.0553736538778256,0.0850308033618763,0.0026434772169544865,0.0015697001046856185,9.233556096565058e-06,0.006376279914743909,-0.003804673294205748,-0.003804673294205748,0.003804673294205748,32,2019-10-13
33,231,1.0528594841980614,1.0553736538778256,0.08479378997578424,0.002601962224213096,0.0015654016260366877,9.01553186653839e-06,0.006376279914743909,0.001427850309270905,0.001427850309270905,0.0023822554888746493,33,2019-10-20
34,238,1.0537798330377646,1.0553736538778256,0.08365122507490774,0.002564976359345534,0.0015450704646007328,8.772843413877069e-06,0.006376279914743909,0.0008741421372142208,0.0008741421372142208,0.0015101957815648638,34,2019-10-27
35,245,1.0577798965472494,1.0577798965472494,0.0872865896061441,0.0025554554826928383,0.0016093804395500458,8.933876616830475e-06,0.006376279914743909,0.0037959195878266867,0.0037959195878266867,0.0,35,2019-11-03
36,252,1.0538552551281233,1.0577798965472494,0.07893738037431497,0.002670176691071101,0.0014616125713021266,9.068103660085068e-06,0.006376279914743909,-0.003710262817375038,-0.003710262817375038,0.003710262817375038,36,2019-11-10
37,259,1.0574127993744744,1.0577798965472494,0.08184999703589857,0.0026515686911314285,0.0015133458196136247,9.131010025319975e-06,0.006376279914743909,0.003375742758827557,0.003375742758827557,0.000347044951386582,37,2019-11-17
38,266,1.0584033153864574,1.0584033153864574,0.0810004710232799,0.0026171633341857134,0.0014981718614614596,8.913811688549237e-06,0.006376279914743909,0.0009367354098313535,0.0009367354098313535,0.0,38,2019-11-24
39,273,1.0599782737205155,1.0599782737205155,0.08099067539092464,0.002582497897080022,0.0014979123575761184,8.742029245339859e-06,0.006376279914743909,0.001488051209933149,0.001488051209933149,0.0,39,2019-12-01
