Date,AGG,BND,BSV,GLD,IGSB,LQD,MBB,SHV,SHY,SPY
2007-06-14,0.001952376,-0.001359695,0.0,0.001084762,0.000501858,-0.000290158,-0.000101386,0.000732241,0.0,0.006386196
2007-06-15,0.003587581,0.005036012,0.001341646,0.003869969,0.001002586,0.003964051,0.003057084,0.000273699,0.001380245,0.00568985
2007-06-18,0.000714857,-0.001083414,0.000402419,0.001541997,0.0,-9.59e-05,0.001118205,9.19e-05,0.0,-0.001176043
2007-06-19,0.003165856,0.004745643,0.001205679,0.008160222,0.001502165,0.006453523,0.004464819,0.000273599,0.001754744,0.002485615
2007-06-20,-0.003053836,-0.004858111,0.000133469,-0.01175938,0.00049952,-0.004785519,-0.002728679,0.000274224,-0.001000185,-0.013897527
2007-06-21,-0.001224569,0.000542328,0.000133656,-0.002318058,0.000200041,-0.002595961,-0.002430861,9.13e-05,0.000374628,0.005557553
2007-06-22,0.002350264,0.001490793,0.000534758,0.003407702,-0.000200001,0.002699735,0.000812069,0.000274512,0.001376217,-0.009408798
2007-06-25,0.000917809,0.002706295,0.001470737,-0.005402879,0.001199725,0.001153227,0.002537157,9.11e-05,0.000875465,-0.00478198
2007-06-26,-0.001222192,-0.000404152,0.000133643,-0.012571805,0.000898794,-0.00019152,0.000101285,9.08e-05,-0.000624687,-0.010278674
2007-06-27,0.001937731,0.000809581,0.0,0.000785904,0.000598346,0.0,0.000608569,0.000274231,-0.000124283,0.014229095
2007-06-28,-0.000712662,-0.001348949,-0.00053348,0.009266593,-0.000399005,-0.001057226,-0.001620213,0.000273768,-0.000250657,-0.000132924
2007-06-29,0.001936068,0.003376928,0.001202793,0.000155532,0.001794682,0.005673092,0.001722489,0.000273693,0.00200061,0.000332021
2007-07-02,0.002664764,0.00247174,0.001619235,0.01166952,-0.000149729,-0.002477677,0.003096531,3.69e-05,0.000651599,0.009040666
2007-07-03,-0.001120656,-0.002020586,-0.000268474,-0.004306349,0.000499689,0.000192475,-0.000707955,-0.000183103,-0.000376569,0.003623669
2007-07-05,-0.004179738,-0.004050538,-0.002672961,-0.004942844,-0.001398224,-0.006450743,-0.003544464,0.000457648,-0.001376173,-0.001050381
2007-07-06,-0.001740566,-0.002032753,-0.000803779,0.008382504,-0.001700783,-0.001937256,-0.002135465,0.0,-0.000126392,0.005257097
2007-07-09,0.001743601,0.001086195,0.00120691,0.006465489,0.00120269,0.002039097,0.000713075,0.000275084,0.000753184,0.000784162
2007-07-10,0.00429937,0.005155732,0.002411728,0.003517947,0.001901271,0.006878629,0.003461486,0.000365928,0.001878798,-0.014238629
2007-07-11,-0.002242076,-0.002429475,0.0,-0.002591041,0.000199983,-0.004522357,-0.000913491,0.0,-0.000500195,0.007089681
2007-07-12,-0.001022205,-0.001353233,-0.000935472,0.008862992,-0.000998783,-0.003963686,-0.000710758,0.000182781,-0.000625899,0.015790409
2007-07-13,0.00122769,0.001625557,-0.000267062,0.000151502,-0.000799639,0.004367245,-0.000711379,0.000183212,0.000501216,0.002979292
2007-07-16,0.002042467,0.002705577,0.001471544,-0.003180359,0.001200781,0.002609067,0.002542449,9.16e-05,0.001001016,-0.000129299
2007-07-17,-0.001834298,-0.001214003,0.000266605,-0.001063502,0.000499225,-0.002119757,-0.00081175,0.00018262,-0.000624781,-0.000516096
2007-07-18,0.002553002,0.001620507,0.001203067,0.013231981,0.001398705,0.002897351,0.001421545,0.000275119,0.001500161,-0.00180954
2007-07-19,0.0,-0.000404373,-0.001067023,0.005854088,-0.000897129,-0.002119069,0.000507007,0.000182227,-0.000124893,0.003884159
2007-07-20,0.002342757,0.002832937,0.001334525,0.008506188,0.002195802,0.002798506,0.0025326,0.000365703,0.001624377,-0.010124537
2007-07-23,-0.000609568,-0.000269506,0.000534726,-0.001627709,9.97e-05,-0.001154436,-0.000101186,0.0,-0.000748575,0.003061883
2007-07-24,0.002033328,0.000403738,0.001599728,0.0,-0.000398501,-0.001252537,-0.000101081,9.15e-05,0.000999304,-0.017341203
2007-07-25,-0.000608469,0.000941728,-0.000132788,-0.008448195,9.98e-05,0.000771438,0.000101091,0.000273939,0.000748047,0.002049069
2007-07-26,0.003553412,0.00389727,0.003194568,-0.018684603,0.000796723,-0.002119724,0.00394148,0.000548115,0.002366363,-0.023678986
2007-07-27,-0.001011333,-0.000803183,0.000796385,-0.003655718,0.002589223,-0.003671592,-0.001509923,0.0,0.001118358,-0.019659756
2007-07-30,-0.000506644,-0.000937943,-0.000795752,0.005503638,-0.000397171,0.001551163,-0.000604334,0.0,-0.001241597,0.015643012
2007-07-31,0.003141528,0.002011104,0.000133057,0.000304155,-0.001192603,-0.000483148,0.000503573,0.000365544,0.001616048,-0.011262828
2007-08-01,-0.002323815,-0.000482799,5.29e-05,0.002127974,-0.000149949,0.003229708,0.002188445,0.000347793,-0.000970963,0.004872091
2007-08-02,-0.000508119,0.001746702,0.00053314,-0.000606718,0.000899211,-0.001357176,0.000403761,0.000366442,0.000498478,0.007990129
2007-08-03,0.004375327,0.003355152,0.002395189,0.012141494,0.001896491,0.004953158,0.003737762,0.000274963,0.002491487,-0.02574489
2007-08-06,-0.001621505,-0.002808641,-0.002256755,-0.002549195,-0.001892901,-0.003479307,-0.001811532,-9.18e-05,-0.001242817,0.016759108
2007-08-07,-0.000709291,0.00053633,-0.000399033,-0.000601222,-0.001397241,0.00271592,0.001814819,9.18e-05,-0.000870308,0.010669489
2007-08-08,-0.001218765,-0.003217582,-0.001065321,0.004362113,0.000399918,0.001064,-0.003421505,0.000183181,-0.000747631,0.013941148
2007-08-09,0.001220253,0.002286278,0.002798741,-0.019619554,0.000699834,-0.000869763,0.002120558,0.000640051,0.002866287,-0.029633743
2007-08-10,-0.00335175,-0.001877442,-0.000531471,0.01695693,0.001097793,-0.004448576,-0.000806837,0.000183185,-0.000372122,-0.004677237
2007-08-13,0.001833888,0.000940056,0.000399186,-0.004656716,-0.00019952,0.003497007,-0.000200847,0.000182765,0.000870906,0.003593037
2007-08-14,0.002746146,0.002417509,0.000929558,0.000452743,0.000698511,0.006292875,0.000806626,0.00054835,0.001366553,-0.015285948
